Iteration	Posterior	Likelihood	Prior	age_ursinae	diversification	extant_mrca	extinction_rate	speciation_rate	turnover
0	-11117.41	-11085.46	-31.95125	27.68975	-0.1347853	36.26631	0.1552315	0.02044627	7.592169
10	-6258.486	-6239.759	-18.72748	0.7282378	-0.03472095	8.133582	0.06016458	0.02544363	2.364623
20	-4699.462	-4688.253	-11.20946	0.0811827	-0.0165824	1.989129	0.02366615	0.007083747	3.340908
30	-4693.043	-4681.741	-11.30139	0.0712416	-0.07917055	1.928447	0.0839745	0.004803947	17.48031
40	-4690.226	-4679.209	-11.01718	0.06268859	-0.05120011	1.889219	0.05247971	0.001279605	41.01242
50	-4691.146	-4680.156	-10.98929	0.06474295	-0.04256906	1.895732	0.0431427	0.000573647	75.20775
60	-4692.675	-4681.884	-10.79108	0.06763772	-0.02018637	1.867	0.02046125	0.0002748827	74.43631
70	-4690.371	-4679.589	-10.7816	0.06866973	-0.0180971	1.867	0.01838832	0.0002912242	63.14146
80	-4689.558	-4678.796	-10.76229	0.06739789	-0.01630615	1.864138	0.01642797	0.0001218182	134.8564
90	-4690.959	-4680.155	-10.80347	0.060465	-0.02057611	1.871099	0.02070021	0.0001240992	166.8036
100	-4691.656	-4680.912	-10.74379	0.05811646	-0.007141363	1.87205	0.007289619	0.0001482558	49.16921
110	-4689.392	-4678.683	-10.70971	0.07156688	-0.00487365	1.86388	0.005267796	0.0003941459	13.36509
120	-4691.576	-4680.827	-10.74888	0.08061192	-0.002982671	1.86388	0.008368554	0.005385883	1.553794
130	-4686.897	-4676.179	-10.71835	0.07560573	-0.007300713	1.846499	0.01311451	0.005813799	2.255756
140	-4689.298	-4678.61	-10.68807	0.07408627	-0.006939038	1.846499	0.009832465	0.002893427	3.398208
150	-4690.957	-4680.163	-10.79434	0.07577073	-0.02285568	1.860269	0.02424089	0.001385211	17.49978
160	-4686.29	-4675.494	-10.7958	0.07087643	-0.02054377	1.860269	0.02330216	0.002758391	8.447738
170	-4689.477	-4678.604	-10.87291	0.06733587	-0.007423965	1.898558	0.01223491	0.004810948	2.54314
180	-4688.022	-4677.148	-10.87424	0.07098529	0.003882005	1.883322	0.01167811	0.01556012	0.7505157
190	-4687.603	-4676.789	-10.81346	0.06740011	0.01268257	1.863563	0.007377768	0.02006034	0.3677789
200	-4691.856	-4681.078	-10.77861	0.0789685	0.00625888	1.863563	0.006906115	0.01316499	0.5245817
210	-4688.662	-4677.659	-11.00302	0.06794	0.02431304	1.912078	0.005797797	0.03011083	0.1925485
220	-4688.525	-4676.627	-11.89716	0.07579508	0.1358662	1.864093	0.04935639	0.1852226	0.2664707
230	-4689.845	-4676.225	-13.61974	0.07047371	-0.194427	1.849365	0.3583869	0.1639599	2.185821
240	-4694.41	-4681.803	-12.60666	0.06868014	0.0577279	1.849365	0.1497967	0.2075246	0.7218262
250	-4694.142	-4681.347	-12.79456	0.08201514	0.1975601	1.841723	0.09874825	0.2963083	0.3332618
260	-4687.162	-4674.718	-12.44413	0.0673108	-0.2868056	1.855804	0.3165491	0.02974347	10.64264
270	-4687.12	-4675.692	-11.42854	0.06739704	-0.002569841	1.855804	0.07715193	0.07458209	1.034457
280	-4692.863	-4680.53	-12.33358	0.06721817	0.1225178	1.914776	0.08335846	0.2058763	0.404896
290	-4700.153	-4688.107	-12.04592	0.07139548	-0.05180289	1.953736	0.1346213	0.08281839	1.6255
300	-4690.455	-4676.173	-14.28167	0.06453456	-0.6095849	1.871389	0.6378002	0.0282153	22.60476
310	-4690.404	-4677.826	-12.57771	0.06560118	0.2266131	1.864751	0.06619341	0.2928066	0.2260653
320	-4693.081	-4679.137	-13.94371	0.07585655	0.4020647	1.899178	0.08709856	0.4891633	0.1780562
330	-4690.496	-4676.69	-13.8059	0.07111132	0.08238342	1.877735	0.2274194	0.3098029	0.7340779
340	-4687.73	-4675.97	-11.75987	0.06533872	-0.09056932	1.864187	0.1501604	0.05959107	2.519847
350	-4686.653	-4674.476	-12.17744	0.06744915	-0.2556995	1.850061	0.2784645	0.02276496	12.23215
360	-4684.695	-4673.698	-10.99694	0.06732985	-0.05270041	1.85074	0.06298572	0.01028531	6.123854
